Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-11 00:00:00-05:00,549.6799926757812,552.8300170898438,536.8300170898438,551.7000122070312,567200,0.0,0.0
2024-01-12 00:00:00-05:00,558.0499877929688,560.75,551.3499755859375,559.1799926757812,512800,0.0,0.0
2024-01-16 00:00:00-05:00,552.0,566.3300170898438,551.9500122070312,561.1300048828125,524800,0.0,0.0
2024-01-17 00:00:00-05:00,554.6900024414062,561.3099975585938,545.1599731445312,550.3200073242188,635500,0.0,0.0
2024-01-18 00:00:00-05:00,557.010009765625,565.2100219726562,553.219970703125,563.3699951171875,553200,0.0,0.0
2024-01-19 00:00:00-05:00,566.8099975585938,572.3499755859375,555.3400268554688,572.030029296875,651200,0.0,0.0
2024-01-22 00:00:00-05:00,575.8499755859375,585.9400024414062,574.4099731445312,578.8800048828125,606900,0.0,0.0
2024-01-23 00:00:00-05:00,582.760009765625,584.9500122070312,574.0900268554688,578.0700073242188,598500,0.0,0.0
2024-01-24 00:00:00-05:00,586.969970703125,591.6699829101562,576.25,576.9000244140625,959400,0.0,0.0
2024-01-25 00:00:00-05:00,608.8499755859375,658.510009765625,596.8400268554688,651.6400146484375,2662400,0.0,0.0
2024-01-26 00:00:00-05:00,653.0,653.2100219726562,629.2999877929688,630.75,1423700,0.0,0.0
2024-01-29 00:00:00-05:00,633.8300170898438,648.25,632.5800170898438,647.72998046875,597800,0.0,0.0
2024-01-30 00:00:00-05:00,642.0,653.25,642.0,642.97998046875,504800,0.0,0.0
2024-01-31 00:00:00-05:00,639.2000122070312,641.25,624.2000122070312,625.4000244140625,1012500,0.0,0.0
2024-02-01 00:00:00-05:00,635.9199829101562,646.760009765625,620.27001953125,645.3699951171875,646100,0.0,0.0
2024-02-02 00:00:00-05:00,640.9500122070312,658.6300048828125,639.8900146484375,654.2000122070312,491300,0.0,0.0
2024-02-05 00:00:00-05:00,649.219970703125,649.6500244140625,636.0700073242188,645.5700073242188,650200,0.0,0.0
2024-02-06 00:00:00-05:00,649.3300170898438,654.5399780273438,645.0,654.5399780273438,478400,0.0,0.0
