Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-05 00:00:00-05:00,156.8000030517578,157.64999389648438,154.63999938964844,155.9499969482422,1654700,0.0,0.0
2024-01-08 00:00:00-05:00,152.8000030517578,155.75999450683594,150.7100067138672,155.75999450683594,2130700,0.0,0.0
2024-01-09 00:00:00-05:00,156.02999877929688,156.19000244140625,152.22999572753906,152.75999450683594,1356800,0.0,0.0
2024-01-10 00:00:00-05:00,152.19000244140625,152.3000030517578,149.8699951171875,151.36000061035156,1470200,0.0,0.0
2024-01-11 00:00:00-05:00,151.99000549316406,152.57000732421875,150.3699951171875,151.38999938964844,1234700,0.0,0.0
2024-01-12 00:00:00-05:00,153.99000549316406,154.58999633789062,152.0500030517578,153.83999633789062,1471900,0.0,0.0
2024-01-16 00:00:00-05:00,153.02999877929688,153.36000061035156,150.6999969482422,151.16000366210938,1423100,0.0,0.0
2024-01-17 00:00:00-05:00,149.38999938964844,151.32000732421875,148.8699951171875,149.77999877929688,1448100,0.0,0.0
2024-01-18 00:00:00-05:00,149.72000122070312,150.3300018310547,148.30999755859375,149.74000549316406,1460800,0.0,0.0
2024-01-19 00:00:00-05:00,149.72999572753906,151.11000061035156,149.02000427246094,151.05999755859375,1344100,0.0,0.0
2024-01-22 00:00:00-05:00,151.27999877929688,153.25999450683594,150.16000366210938,151.94000244140625,2268600,0.0,0.0
2024-01-23 00:00:00-05:00,150.99000549316406,153.08999633789062,150.7100067138672,151.47000122070312,1307300,0.0,0.0
2024-01-24 00:00:00-05:00,152.38999938964844,153.61000061035156,151.25,153.1999969482422,1470200,0.0,0.0
2024-01-25 00:00:00-05:00,154.63999938964844,156.41000366210938,152.47000122070312,156.32000732421875,2399500,0.0,0.0
2024-01-26 00:00:00-05:00,156.5,157.08999633789062,154.25,156.24000549316406,1443200,0.0,0.0
2024-01-29 00:00:00-05:00,155.89999389648438,155.89999389648438,153.7100067138672,154.86000061035156,2775200,0.0,0.0
2024-01-30 00:00:00-05:00,153.82000732421875,157.3800048828125,153.39999389648438,156.92999267578125,2002400,0.0,0.0
2024-01-31 00:00:00-05:00,156.80999755859375,156.80999755859375,153.5,153.74000549316406,1636100,0.0,0.0
2024-02-01 00:00:00-05:00,154.5,155.16000366210938,151.3300018310547,152.72000122070312,1578800,0.0,0.0
2024-02-02 00:00:00-05:00,152.57000732421875,152.89999389648438,150.19000244140625,150.22000122070312,1282000,0.0,0.0
2024-02-05 00:00:00-05:00,149.82000732421875,150.55999755859375,147.92999267578125,149.6199951171875,1613000,0.0,0.0
2024-02-06 00:00:00-05:00,150.39999389648438,152.7899932861328,150.0,151.99000549316406,1927200,0.0,0.0
